record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:open.ottawa.ca:2ae02f413de14a48966385f52496cf36,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record provides waste and recycling collection schedules, which is an administrative task unrelated to living organisms.",817,110,
oai:borealisdata.ca:930_49,gemini-3.1-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,report,english,"The record describes a research project focused on the hydrology, nutrient cycling, and ecological integrity of Arctic freshwater systems.",1214,118,
oai:open.canada.ca:5ab982ca-176d-4906-99e8-a9a2c18ba12c,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,"The record describes cadastral and land survey data for a specific area, which is a land and boundary topic with no ecological purpose stated.",918,120,
oai:datadryad.org:doi:10.5061/dryad.98sf7m0k7,gemini-3.1-flash-lite,True,aerial insectivorous birds; swallows; Barn Swallow; Hirundo rustica; Cliff Swallow; Petrochelidon pyrrhonota; Tree Swallow; Tachycineta bicolor; aerial insects,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a study on the diet partitioning and ecology of three specific swallow species.,1003,177,
oai:open.ottawa.ca:2b5139bebb0342948e7b2ce1cf4004de,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes historical datasets related to cultural mapping, festivals, and events in Ottawa, which does not involve living organisms or ecosystems.",856,117,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/76725,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,report,english,"The record describes mathematical modeling of fluid dynamics and wave equations, which are physical processes, and does not mention any living organisms.",1151,118,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/63564,gemini-3.1-flash-lite,True,,none,other,not_applicable,not_applicable,other,english,The record describes a mathematical study on directed clique topology and does not focus on specific organisms or ecosystems.,740,111,
oai:gnb.socrata.com:djnb-9vvt,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,report,english and french,The record is an administrative document detailing salary and expense disclosures for members of the Legislative Assembly.,949,111,
oai:donnees.montreal.ca:pistes-cyclables,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,"The record describes a dataset of cycling infrastructure and transportation networks in Montreal, which does not involve living organisms or ecosystems.",798,114,
oai:borealisdata.ca:391508_200569,gemini-3.1-flash-lite,True,wooded areas,group,land_and_boundaries,not_applicable,no,dataset,english,"The record is a topographic map which includes features like wooded areas, but its primary purpose is cartographic and administrative rather than ecological.",1103,129,
oai:borealisdata.ca-dataverse-westernu:457860_201809_290067_392452,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record describes census tract boundary files for mapping social science data and does not mention living organisms or ecological purposes.,953,115,
oai:datadryad.org:doi:10.5061/dryad.t7b1b05,gemini-3.1-flash-lite,True,Chytriodinium; dinoflagellate; copepod; Chytriodinium/Dissodinium; pico/nano- and mesoplankton; microplankton,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a dataset containing genomic and distribution data for the parasitic dinoflagellate Chytriodinium and its copepod hosts.,997,177,
oai:open.canada.ca:417ab00e-070f-4647-81f8-434048eab3cb,gemini-3.1-flash-lite,True,poissons; Zostera marina,species,habitat_or_ecosystem,not_applicable,not_applicable,report,french,The record describes a monitoring program using an Index of Biotic Integrity to assess the health of estuarine ecosystems and their fish communities.,1014,139,
oai:opendata-abbotsford.hub.arcgis.com:69bc933bb09f42da826686508c6d191d,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record describes a dataset of address locations and street names, which is an administrative matter.",747,109,
oai:datadryad.org:doi:10.5061/dryad.t76hdr8gj,gemini-3.1-flash-lite,True,Asian giant honeybee; Apis dorsata; bees; hornets; bee-eaters,species,organisms,not_applicable,not_applicable,report,english,The record describes an experimental study on the defensive behaviour of the Asian giant honeybee species.,1115,147,
oai:borealisdata.ca-dataverse-ualberta:230075_203206,gemini-3.1-flash-lite,True,ringed seal; Pusa hispida; polar bear,species,organisms,not_applicable,not_applicable,dataset,english,"The record provides stable isotope and biological data for ringed seals and polar bears, focusing on the organisms themselves.",1028,138,
oai:niagaraopendata.ca:city-of-welland-poll-boundaries,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record describes spatial data for administrative poll boundaries in the City of Welland and does not mention living organisms or ecological purposes.,749,118,
oai:borealisdata.ca-dataverse-ubc:153019_150149,gemini-3.1-flash-lite,True,Escherichia coli,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset concerning the adaptive radiation and evolution of Escherichia coli populations.,981,117,
oai:datadryad.org:doi:10.5061/dryad.40sh435,gemini-3.1-flash-lite,True,lichens; fungi,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the evolutionary biology and substrate specificity of lichens and fungi.,962,124,
oai:open.canada.ca:85f60526-ba27-50eb-a64e-933eb0de1e30,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes an airborne or marine geophysical survey measuring total magnetic field, which is a physical measurement with no mention of living organisms.",844,119,
oai:open.alberta.ca:data-tables-graduate-outcomes-survey-private-vocational-training-institutions-class-2018-2019,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record concerns a survey of post-secondary graduates and their career outcomes, which does not involve living organisms or ecosystems.",864,115,
oai:open.yukon.ca-data:crown-grants-50k,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record describes a dataset of land tenure boundaries (Crown grants) in the Yukon and does not focus on living organisms or ecological conservation.,954,120,
oai:catalogue.data.gov.bc.ca:recreational-fish-fishery-coastal-resource-information-management-system-crims-,gemini-3.1-flash-lite,True,fish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record describes a legacy dataset of recreational fish fishery areas in British Columbia, focusing on resource management rather than the biology of the fish themselves.",832,130,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/61140,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,"The record is a mathematical paper about intersection theory, moduli spaces, and integrable hierarchies, with no mention of living organisms.",895,115,
oai:catalogue.data.gov.bc.ca:alcids-coastal-resource-information-management-system-crims,gemini-3.1-flash-lite,True,Seabirds; marine bird; auk; alcid; bird; pelagic bird,group,organisms,not_applicable,not_applicable,dataset,english,The record describes a dataset concerning the distribution and abundance of alcid seabirds in coastal British Columbia.,885,150,
oai:open.canada.ca:77ddb43e-3357-4d7f-9329-6c50d38e7912,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes an airborne geophysical survey using gamma-ray spectrometers and magnetometers, which are physical measurements.",841,114,
oai:open.canada.ca:16282d1a-383f-4b9e-b703-a3ee21e59dc5,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,The record describes a dataset concerning oil and natural gas pipeline infrastructure and regulatory information.,874,107,
oai:catalogue.data.gov.bc.ca:existing-potential-public-and-commercial-recreation-dsc,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record describes a dataset regarding recreation and land use planning in a forest district, which is a land management topic without an ecological purpose stated.",812,121,
oai:catalogue.data.gov.bc.ca:traplines-of-british-columbia,gemini-3.1-flash-lite,True,fur bearing animals,group,land_and_boundaries,not_applicable,no,dataset,english,The record describes administrative boundaries for trapping areas and does not state an ecological or conservation purpose for these boundaries.,804,124,
oai:data.ontario.ca:stream-neonicotinoid-monitoring-study,gemini-3.1-flash-lite,True,pollinisateurs; mais; soja; invertebres benthiques; abeilles,group,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes a dataset measuring neonicotinoid concentrations in stream water, which is a physical/chemical measurement, even though it mentions various organisms in the context of the broader study.",1180,167,
oai:catalogue.cioos.ca:10-25976-f78l-dr06,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,report,french,"The record describes a water quality monitoring program for rivers, which is a physical and chemical assessment of the environment.",929,115,
oai:data.novascotia.ca:u7wb-ubj8,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record describes a Digital Elevation Model (DEM) derived from LiDAR data, which is a physical measurement of terrain elevation.",898,117,
oai:open.alberta.ca:gda-c5e8e2c8-1236-4d03-97ff-a0f63ef3521b,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes a dataset of railway infrastructure points such as stations, bridges, and tunnels, which does not involve living organisms.",766,116,
oai:datadryad.org:doi:10.5061/dryad.wwpzgmsp5,gemini-3.1-flash-lite,True,spongy moth; Lymantria dispar; gypsy moth; L. dispar; L. dispar asiatica; L. d. dispar,species,organisms,not_applicable,not_applicable,dataset,english,"The record describes a population genomics study of the spongy moth (Lymantria dispar) to understand its genetic structure, classification, and phylogeography.",1175,174,
oai:frdr-dfdr.ca-go-waterinstitute:oai:www.frdr-dfdr.ca:b22dca09-4d7c-4c65-9671-1a34e8b5878c,gemini-3.1-flash-lite,True,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record describes a lysimeter study focusing on soil chemistry and nitrogen cycling processes in agricultural soils, which are physical and chemical environmental measurements.",924,120,
oai:gnb.socrata.com:qncz-8usu,gemini-3.1-flash-lite,True,forest,group,physical_environment,not_applicable,not_applicable,dataset,english and french,The record describes a dataset of geological till sampling locations that includes observations of forest soil profiles.,990,121,
oai:borealisdata.ca:328128_193183,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record is a dataset concerning economic impacts of COVID-19 and does not mention living organisms or ecosystems.,858,113,
oai:datadryad.org:doi:10.5061/dryad.53b58,gemini-3.1-flash-lite,True,Atlantic salmon; Salmo salar,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing genomic data comparing farmed and wild Atlantic salmon populations to identify selection signatures.,1018,128,
oai:borealisdata.ca-dataverse-odesi-data:578187_493340,gemini-3.1-flash-lite,True,Fish; Groundfish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record provides statistical data on the volume and value of fish landings and fishing effort, which relates to fisheries management rather than the biology of the organisms themselves.",833,139,
oai:borealisdata.ca-dataverse-ualberta:227107_203043,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record is a collection of language lessons for the Skagit language and does not concern living organisms or ecosystems.,860,113,
oai:open.canada.ca:638831f2-4ff5-4d5e-9296-c85543480b05,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,The record concerns international trade in services and does not mention living organisms or ecosystems.,765,107,
oai:https-zenodo.org:10.5281/zenodo.11200227,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,report,english,The record is an audit report regarding social climate and equity within a university physics department and does not concern living organisms or ecosystems.,790,116,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/66776,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record describes theoretical physics and mathematical concepts with no mention of living organisms or ecosystems.,747,108,
oai:catalogue.data.gov.bc.ca:drastic-aquifer-intrinsic-vulnerability,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record describes a spatial dataset regarding aquifer vulnerability and groundwater, which are physical environment characteristics.",915,111,
oai:borealisdata.ca-dataverse-mcgill:892222,gemini-3.1-flash-lite,True,frugivorous tropical bats; Carollia perspicillata; Artibeus jamaicensis; Trinidadian guppy; Poecilia reticulata,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing research data on the foraging behaviour and stress responses of specific bat and fish species.,886,164,
